,00:02:05,00:03:06,00:04:07,00:05:07
3622.5,499351.245,499895.57499999995,502289.43,501732.20499999996
3630.0,500001.44,499122.595,502422.54,501468.33499999996
3637.5,499461.64,499583.155,502374.155,500792.83999999997
3645.0,499110.99,499983.73,502210.26,501152.975
3652.5,499294.18,499484.20999999996,502342.72,501065.675
3660.0,499870.45499999996,499181.89,502561.02,501266.23
3667.5,499558.44,499834.93,501833.1,502328.20499999996
3675.0,499189.33499999996,500005.635,501936.555,501300.555
3682.5,500328.19499999995,499775.805,501783.505,501494.185
3690.0,499620.405,499970.415,502172.605,501665.19
3697.5,498951.23,499492.91000000003,502454.14,501007.61
3705.0,499112.85,500032.025,502181.81999999995,501099.145
3712.5,499433.655,500355.1,502636.595,502190.65
3720.0,499449.07499999995,500305.91000000003,502406.58999999997,502146.995
